Date,Weekday,MealType,Paytm+Cash,Coupons,SemType,Holiday,MenuItem
2022-11-12,5,EveningSnacks,6.0,162.0,False,False,
2022-11-12,5,Dinner,10.0,202.0,False,False,
2022-11-13,6,BreakFast,11.0,150.0,False,False,
2022-11-13,6,Lunch,24.0,190.0,False,False,
2022-11-13,6,EveningSnacks,3.0,136.0,False,False,
2022-11-13,6,Dinner,26.0,303.0,False,False,
2022-11-14,0,BreakFast,8.0,192.0,False,False,
2022-11-14,0,Lunch,69.0,322.0,False,False,
2022-11-14,0,EveningSnacks,1.0,,False,False,
2022-11-14,0,Dinner,18.0,354.0,False,False,
2022-11-15,1,BreakFast,9.0,193.0,False,False,
2022-11-15,1,Lunch,74.0,360.0,False,False,
2022-11-15,1,EveningSnacks,5.0,209.0,False,False,
2022-11-15,1,Dinner,17.0,316.0,False,False,
2022-11-16,2,BreakFast,18.0,242.0,False,False,
2022-11-16,2,Lunch,40.0,265.0,False,False,
2022-11-16,2,EveningSnacks,4.0,,False,False,
2022-11-16,2,Dinner,51.0,445.0,False,False,
2022-11-17,3,BreakFast,13.0,217.0,False,False,
2022-11-17,3,Lunch,46.0,356.0,False,False,
2022-11-17,3,EveningSnacks,6.0,178.0,False,False,
2022-11-17,3,Dinner,12.0,292.0,False,False,
2022-11-18,4,BreakFast,16.0,232.0,False,False,
2022-11-18,4,Lunch,39.0,202.0,False,False,
2022-11-18,4,EveningSnacks,3.0,106.0,False,False,
2022-11-18,4,Dinner,20.0,207.0,False,False,
2022-11-19,5,BreakFast,14.0,137.0,False,False,
2022-11-19,5,Lunch,68.0,306.0,False,False,
2022-11-19,5,EveningSnacks,1.0,102.0,False,False,
2022-11-19,5,Dinner,16.0,190.0,False,False,
2022-11-20,6,BreakFast,11.0,126.0,False,False,
2022-11-20,6,Lunch,22.0,160.0,False,False,
2022-11-20,6,EveningSnacks,4.0,125.0,False,False,
2022-11-20,6,Dinner,41.0,275.0,False,False,
2022-11-21,0,BreakFast,9.0,179.0,False,False,
2022-11-21,0,Lunch,57.0,275.0,False,False,
2022-11-21,0,EveningSnacks,6.0,221.0,False,False,
2022-11-21,0,Dinner,36.0,303.0,False,False,
2022-11-22,1,BreakFast,17.0,189.0,False,False,
2022-11-22,1,Lunch,76.0,296.0,False,False,
2022-11-22,1,EveningSnacks,5.0,179.0,False,False,
2022-11-22,1,Dinner,13.0,208.0,False,False,
2022-11-23,2,BreakFast,14.0,224.0,False,False,
2022-11-23,2,Lunch,50.0,262.0,False,False,
2022-11-23,2,EveningSnacks,3.0,204.0,False,False,
2022-11-23,2,Dinner,64.0,396.0,False,False,
2022-11-24,3,BreakFast,21.0,189.0,False,False,
2022-11-24,3,Lunch,68.0,298.0,False,False,
2022-11-24,3,EveningSnacks,3.0,161.0,False,False,
2022-11-24,3,Dinner,22.0,193.0,False,False,
2022-11-25,4,BreakFast,19.0,149.0,False,False,
2022-11-25,4,Lunch,48.0,129.0,False,False,
2022-11-25,4,EveningSnacks,2.0,104.0,False,False,
2022-11-25,4,Dinner,30.0,240.0,False,False,
2022-11-26,5,BreakFast,22.0,99.0,False,False,
2022-11-26,5,Lunch,59.0,195.0,False,False,
2022-11-26,5,EveningSnacks,1.0,88.0,False,False,
2022-11-26,5,Dinner,16.0,131.0,False,False,
2022-11-27,6,BreakFast,8.0,86.0,False,False,
2022-11-27,6,Lunch,31.0,138.0,False,False,
2022-11-27,6,EveningSnacks,5.0,138.0,False,False,
2022-11-27,6,Dinner,55.0,248.0,False,False,
2022-11-28,0,BreakFast,18.0,163.0,False,False,
2022-11-28,0,Lunch,72.0,199.0,False,False,
2022-11-28,0,EveningSnacks,3.0,150.0,False,False,
2022-11-28,0,Dinner,42.0,249.0,False,False,
2022-11-29,1,BreakFast,16.0,130.0,False,False,
2022-11-29,1,Lunch,82.0,255.0,False,False,
2022-11-29,1,EveningSnacks,0.0,144.0,False,False,
2022-11-29,1,Dinner,42.0,151.0,False,False,
2022-11-30,2,BreakFast,36.0,173.0,False,False,
2022-11-30,2,Lunch,72.0,215.0,False,False,
2022-11-30,2,EveningSnacks,9.0,174.0,False,False,
